Series_name,Series Code,Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"GDP_per_capita",NY.GDP.PCAP.PP.CD,United States,USA,55304.3155317137,57040.2082136605,58206.6141931841,60322.261424175,63201.0458483771,65548.0707847572,64317.398912504,71055.87619383,77246.6738828675,81695.1870713302
"GDP_per_capita",NY.GDP.PCAP.PP.CD,United Arab Emirates,ARE,77756.4733197473,68409.2329733712,67256.7745306558,69205.7285326035,76767.494524441,78839.0924822846,66153.2638613342,68912.5455452314,78915.2547555887,83902.6711259525
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Luxembourg,LUX,105296.284588232,107859.685999308,113365.176082265,114985.842235989,116498.512080919,121403.823719046,122114.101599326,137947.34385169,146457.020543986,143341.473124645
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Singapore,SGP,84555.2446100826,87156.187383315,89735.1660600381,95628.2409946334,103899.678923546,105542.413613949,101612.090327577,131864.092335522,141796.101998551,141500.220277358
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Ireland,IRL,51238.8003290093,69214.4219991568,71410.3692705502,78168.9677375394,84918.3383814459,90940.6347639116,97066.70605002,114120.544516392,133822.758723223,127623.394432086
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Norway,NOR,66332.4614374198,60737.8868132779,59280.1992028829,64589.5559196863,70253.8463693386,70939.6055180362,67110.60457055,89209.1397773603,124252.832594829,104459.811922794
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Qatar,QAT,144186.303810531,99572.3884065452,85843.6010323655,93278.5041351007,102635.587458861,101046.810986324,83154.1479218008,108865.137778278,121124.663445707,121124.66344570
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Switzerland,CHE,63417.0437157565,65265.04573356,67350.7518747757,68193.5054944094,70688.8187491194,73732.2353322093,72997.8239503282,81603.2073073193,90746.4532786,92980.401876095
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Denmark,DNK,47901.4473627066,49045.3391904109,51976.0057060956,55356.680780178,57482.9623999067,60787.4633578269,62529.2510567035,69878.9348117258,77953.6786613124,76687.9028437306
"GDP_per_capita",NY.GDP.PCAP.PP.CD,Netherlands,NLD,49233.2153954401,50288.5913949377,52288.4150841353,55088.6338006744,57826.6284976675,61089.5834206486,61068.4058621127,67693.3264311302,74541.7992402552,78215.0663038601
"Unemployment_rate",SL.UEM.TOTL.ZS,United Arab Emirates,ARE,1.962,1.792,1.64,2.462,2.236,2.331,4.294,3.105,2.873,2.706
"Unemployment_rate",SL.UEM.TOTL.ZS,United States,USA,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.625
"Unemployment_rate",SL.UEM.TOTL.ZS,Luxembourg,LUX,5.852,6.669,6.291,5.522,5.585,5.595,6.773,5.247,4.585,5.188
"Unemployment_rate",SL.UEM.TOTL.ZS,Singapore,SGP,3.74,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.472
"Unemployment_rate",SL.UEM.TOTL.ZS,Ireland,IRL,11.858,9.908,8.374,6.713,5.741,4.95,5.623,6.194,4.479,4.34
"Unemployment_rate",SL.UEM.TOTL.ZS,Norway,NOR,3.484,4.296,4.679,4.162,3.8,3.687,4.422,4.369,3.233,3.581
"Unemployment_rate",SL.UEM.TOTL.ZS,Qatar,QAT,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13
"Unemployment_rate",SL.UEM.TOTL.ZS,Switzerland,CHE,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.097,4.3,4.05
"Unemployment_rate",SL.UEM.TOTL.ZS,Denmark,DNK,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.142
"Unemployment_rate",SL.UEM.TOTL.ZS,Netherlands,NLD,7.416,6.873,6.006,4.839,3.831,3.38,3.819,4.21,3.524,3.561
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,
